service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20171114,20180331
2,0,0,0,0,1,0,0,20171114,20180331
3,0,0,0,0,0,1,1,20171114,20180331
4,0,0,0,0,0,1,0,20171114,20180331
5,0,0,0,0,0,0,1,20171114,20180331
6569,0,0,0,0,0,0,0,20171114,20180331
6570,0,0,0,0,0,0,0,20171114,20180331
6571,0,0,0,0,0,0,0,20171114,20180331
